"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R520","2020-04-10 00:00:00","18.000","72.000","1.100","22.600","0.900","1015.700","","0.000","-99.000","-99.000","-99.000","28.000","","20.500",""
"C0O810","2020-04-10 00:00:00","161.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0E790","2020-04-10 00:00:00","344.000","142.000","0.900","17.600","1.000","978.000","","0.000","-99.000","-99.000","-99.000","25.600","","17.100",""
"C0F9Y0","2020-04-10 00:00:00","3313.000","322.000","1.600","3.400","0.170","687.300","","0.000","-99.000","-99.000","-99.000","10.300","","0.400",""
"C0S930","2020-04-10 00:00:00","248.000","285.000","0.500","17.900","0.880","992.600","","0.000","-99.000","-99.000","-99.000","22.000","","17.500",""
"C0M770","2020-04-10 00:00:00","164.000","137.000","0.300","19.500","0.900","998.200","","0.000","-99.000","-99.000","-99.000","26.000","","17.500",""
"C0R470","2020-04-10 00:00:00","103.000","18.000","1.100","21.500","0.940","1006.600","","0.000","-99.000","-99.000","-99.000","29.600","","19.500",""
"C0V350","2020-04-10 00:00:00","36.000","272.000","1.100","19.500","0.910","1014.800","","0.000","-99.000","-99.000","-99.000","30.600","","18.700",""
"C0C670","2020-04-10 00:00:00","250.000","44.000","1.600","16.900","0.740","989.900","","0.000","-99.000","-99.000","-99.000","21.200","","16.000",""
"C0A980","2020-04-10 00:00:00","11.000","149.000","0.300","19.200","0.670","1019.400","","1.500","-99.000","-99.000","-99.000","24.200","","17.300",""
"C0UA60","2020-04-10 00:00:00","566.000","304.000","0.500","15.900","0.780","956.100","","0.000","-99.000","-99.000","-99.000","22.100","","14.700",""
"C0V720","2020-04-10 00:00:00","15.000","32.000","1.300","23.600","0.710","1015.800","","0.000","-99.000","-99.000","-99.000","28.400","","21.600",""
"C0C480","2020-04-10 00:00:00","105.000","123.000","1.600","18.700","0.710","1006.600","","0.000","-99.000","-99.000","-99.000","24.600","","17.200",""
"C0S900","2020-04-10 00:00:00","27.000","10.000","5.400","23.800","0.650","1016.400","","2.000","12.500","350.000","","26.700","","22.000",""
"C0SA00","2020-04-10 00:00:00","466.000","297.000","1.800","16.400","1.000","967.000","","0.000","-99.000","-99.000","-99.000","24.000","","16.400",""
"C0V730","2020-04-10 00:00:00","33.000","346.000","1.000","22.200","0.780","1014.400","","0.000","-99.000","-99.000","-99.000","28.900","","20.500",""
"C0G730","2020-04-10 00:00:00","27.000","19.000","1.300","18.100","0.910","1015.300","","0.000","-99.000","-99.000","-99.000","24.500","","17.600",""
"C0Z300","2020-04-10 00:00:00","182.000","55.000","0.300","16.700","0.990","1001.200","","3.000","-99.000","-99.000","-99.000","20.900","","16.700",""
"C0H9A0","2020-04-10 00:00:00","1595.000","276.000","0.600","11.100","0.980","849.800","","0.000","-99.000","-99.000","-99.000","20.200","","11.000",""
"C0S840","2020-04-10 00:00:00","22.000","330.000","1.000","22.200","0.580","1018.600","","0.000","-99.000","-99.000","-99.000","26.200","","19.000",""
"C0Z150","2020-04-10 00:00:00","27.000","231.000","2.600","19.100","0.890","1018.300","","0.000","-99.000","-99.000","-99.000","22.700","","18.900",""
"C0W170","2020-04-10 00:00:00","42.000","15.000","5.100","15.100","0.920","1016.100","","0.000","-99.000","-99.000","-99.000","18.300","","14.600",""
